Time(s),A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
1.110,1044.7040,1030.6243,1020.1907,1023.3055,1018.0659,1014.2458,1009.3743,1006.4879,1007.9432,1030.6193,1051.7521,1035.4237,1089.8324,1076.7209,1004.7214,1086.3918,990.3033,1015.3933,1023.0441,1039.5460,1003.3398,996.3039,1008.0715,1011.0986,1021.0679,1152.2793,1039.2973,1131.6973,1028.3435,1140.2919,1142.5089,1014.9704,1019.5785,1086.1511,1110.0397,1013.4531,996.8720,1007.8254,1001.5125,1020.9137,985.2582,992.3971,1028.8065,295.6838,1010.5115,984.5682,1020.7227,1014.6356,889.1788,1056.0758,978.9316,1012.4690,1041.3069,996.4104,1112.8408,1012.5852,1016.1914,1029.9661,1021.2974,1013.0875,1032.9963,1003.2165,996.9973,944.3147,1150.1487,1200.8932,998.7003,999.2463,1226.4360,945.3619,898.6006,962.0767,1097.0965,1062.2453,1079.8318,1083.6618,1041.3887,985.8058,1008.3169,983.0320,1140.6732,1136.4852,869.4839,995.8580,1000.0000,1000.7663,998.3918,948.0384,862.7813,1110.7351,1002.5070,1001.8945,1018.9476,981.9254,1029.6285,839.9730
1.120,1044.3613,1023.9507,1015.1247,1022.1422,1011.6306,1006.8482,1002.6184,1006.7655,998.2069,1061.5902,1053.5803,1028.6595,1085.6930,1062.5495,998.9340,1089.2677,998.2268,1021.3087,1016.2539,1034.4758,989.6288,984.4585,1005.2883,1015.3669,1021.6374,1149.2497,1025.8059,1160.7697,1032.4622,1151.4846,1122.1864,1015.7783,1020.2982,1094.4906,1109.7583,1012.1326,1007.7833,1001.2092,988.5448,1023.7482,987.9483,984.4329,945.7843,308.5026,1018.0338,988.6326,1019.6395,1043.6014,886.6563,1048.4217,981.7294,1006.3839,1038.8645,999.5105,1104.2852,1006.7944,1025.9167,1030.3700,1024.5613,1019.7763,1030.4999,998.6080,997.5790,953.1433,1149.5354,1192.6938,1043.8785,1002.4058,1113.6345,936.8331,902.4505,974.4584,1103.2031,1059.6758,1070.4588,1089.3350,1052.4061,992.9614,1004.8799,978.4160,1151.2786,1140.1610,868.5184,999.6293,1000.0000,999.7808,998.3498,955.8483,866.8646,1112.9515,998.8812,997.3932,1019.5420,980.1297,1025.4025,833.8416
1.130,1041.5378,1027.2154,1018.0693,1014.5367,1006.3304,1014.3502,1005.3017,1001.3613,996.9839,1086.6481,1052.9811,1032.4583,1082.2825,1060.3457,1012.2586,1086.0416,987.3541,1011.9190,1019.6804,1043.2148,1004.4280,987.8074,1005.1128,1008.4965,1020.0294,1152.3025,1039.4091,1183.5901,1041.8815,1136.5137,1132.2069,1010.7535,1018.6338,1082.2481,1105.5034,1016.5523,986.9639,997.1977,1006.2572,1035.2177,991.9201,987.4738,1047.7496,282.1023,1008.5552,986.0507,1034.3901,1046.2916,883.2891,1048.6571,983.2145,1017.1987,1039.8185,1000.2850,1111.4699,1008.7485,1020.6529,1034.6570,1031.6946,1015.9178,1017.2887,1000.3926,991.5226,957.3633,1146.6969,1195.2630,1055.3503,991.6147,1029.9549,945.9976,903.1564,972.9237,1095.5155,1056.6160,1065.8164,1091.9357,1035.1344,989.3008,998.9247,984.5998,1142.6109,1140.4637,867.4316,1003.6959,1000.0000,1002.0298,995.9876,952.4113,861.3921,1113.3055,1000.0192,996.8174,1023.9614,990.0121,1016.7651,834.5048
1.140,1039.2716,1025.1605,1014.3681,1021.0487,1013.9326,1008.8715,1003.3563,1008.1032,1000.3498,1095.5583,1050.1905,1024.8694,1084.0913,1064.4573,995.1395,1083.6537,984.1419,1006.4738,1020.1684,1039.7556,1004.9948,993.2887,1007.1159,1004.3854,1017.8382,1149.4485,1028.2929,1201.7529,1031.8439,1129.3640,1122.8781,1001.4179,1009.3856,1071.2168,1094.3314,1010.9888,995.4409,997.7264,1008.0687,1018.9644,988.8845,993.1808,1061.9052,311.1292,1021.1529,987.5889,1014.6045,1065.0429,885.3509,1036.3542,981.3185,1011.5132,1032.8082,994.1331,1107.8380,1019.9699,1021.8369,1029.3244,1037.1185,1013.8630,1026.1434,1001.1463,993.3908,957.1233,1147.4308,1192.5156,990.4588,994.0486,1000.8662,945.7668,900.7279,1078.4486,1080.8413,1050.4959,1067.2750,1090.2219,1044.6646,995.3033,1000.7764,984.8528,1142.9749,1139.4580,870.3639,998.4242,1000.0000,1000.1216,1007.4168,952.0924,868.1153,1110.6860,1002.1861,996.9626,1031.1882,990.3750,1016.0618,846.5754
1.150,1040.4758,1030.9387,1011.8053,1022.3685,1005.0801,1006.0304,1002.3235,1003.9858,999.0987,1107.7064,1044.2736,1030.1275,1076.2357,1055.3687,994.6823,1088.2239,979.3009,1008.0250,1020.9480,1032.7027,995.3282,1000.5215,1003.2889,1008.9762,1008.9456,1146.7989,1026.7684,1205.3213,1026.4607,1124.3701,1117.2758,1005.6755,1017.4394,1074.2267,1107.6727,1006.6835,990.2413,1000.2424,994.8483,1025.9567,987.5897,988.9680,992.6469,305.5221,1006.4446,995.8482,998.3128,1042.3561,888.1214,1052.2580,970.2853,1015.2858,1029.8279,996.6975,1107.1538,1013.7738,1018.3492,1023.4336,1020.2807,1007.0224,1027.3729,999.6595,998.0434,961.8387,1149.0883,1198.4185,939.2475,994.8152,996.2684,941.5036,899.6588,1014.0725,1100.1433,1051.2892,1062.5162,1076.7967,1050.1153,979.1633,999.1289,983.9776,1137.8908,1139.2198,869.8127,1005.5124,1000.0000,1001.0256,1004.4156,950.1743,871.0403,1115.7050,1002.7251,997.8738,1027.6594,988.8453,1028.1058,835.5617
1.160,1036.0821,1026.4703,1017.5725,1014.8623,1013.6941,1013.6716,1002.9611,1002.0490,993.0715,1111.1660,1051.2205,1032.3757,1081.4754,1048.7635,1001.3515,1081.3130,987.1403,1009.8723,1015.7646,1029.3127,1003.2417,1038.2592,1012.9918,1010.7731,1018.2389,1137.4890,1026.8110,1207.7938,1014.7444,1121.9473,1113.1469,1012.7933,1017.7756,1069.6965,1089.3149,1006.1028,978.8240,995.2664,999.3645,1026.6344,985.9794,980.2688,1008.2206,309.5792,1015.3562,990.5874,996.8067,1060.7050,881.9619,1050.3156,982.7514,1016.3940,1038.6253,994.4829,1109.0406,1015.5603,1023.1933,1014.8640,1020.7707,1016.8549,1018.3185,998.6825,988.7356,963.1068,1148.7907,1184.1997,957.9247,998.9163,984.9178,943.4409,898.0905,1039.2424,1084.3334,1039.6398,1061.7300,1079.6151,1040.4990,985.7748,996.7547,987.0653,1139.5580,1146.0683,863.4575,998.4045,1000.0000,1000.8433,995.6422,951.5083,865.3678,1111.3076,1000.4950,994.4672,1026.4623,984.5395,1022.5796,831.5393
1.170,1035.2488,1022.9314,1008.4413,1007.5903,1003.2825,1005.6988,1007.4092,995.1062,1001.3207,1119.5707,1046.7808,1027.6631,1084.3788,1044.4735,998.2496,1074.6211,979.8972,1000.4416,1019.5069,1027.9187,1002.9613,1066.5145,1011.5475,1011.5034,1014.6735,1129.2759,1027.1628,1220.2314,1023.6003,1109.3360,1111.0475,1007.3065,1046.9882,1069.8865,1089.7686,1023.4801,995.4518,1003.3834,996.0902,1026.1332,977.1159,994.1219,988.2634,308.3839,1014.8764,994.0973,1030.1878,1058.2189,870.7619,1060.4941,981.0509,1015.4815,1030.8815,1001.5874,1112.5746,1008.2057,1018.8286,1024.6346,1028.6296,1013.9427,1016.7514,993.1695,1004.8061,955.2959,1150.8112,1190.6643,1011.8330,992.2093,992.4359,944.7103,901.0061,1063.2396,1078.9060,1046.2521,1059.0536,1074.8531,1039.1641,977.7823,996.4073,975.1373,1138.1056,1139.0309,866.9403,989.9845,1000.0000,999.3496,1000.0836,953.7300,877.5743,1108.2764,1002.4609,1000.4357,1033.6824,990.0748,1012.6387,813.3189
1.180,1034.1649,1024.7540,1011.3951,1015.2395,1006.2386,1002.0226,1003.6187,1000.6035,998.3584,1114.4247,1045.4365,1024.2430,1079.0432,1041.9682,998.1384,1086.8987,988.2703,1003.9685,1003.4806,1034.9203,996.4106,1082.4795,1003.6059,1007.1553,1008.8309,1122.7641,1024.9393,1217.2340,1031.5029,1108.7550,1107.9167,1011.3693,1054.7392,1066.0308,1081.3050,1011.9223,984.8110,1003.7358,999.2080,1018.6781,982.3385,991.9244,959.2892,303.3692,1006.4535,987.5725,997.4691,1062.7333,878.3888,1050.0172,972.9930,1022.0229,1035.0948,999.8378,1109.6588,1017.8738,1019.9820,1012.5510,1029.6959,1014.5965,1010.1451,997.5775,984.5352,968.5452,1150.8451,1181.8955,1046.3265,1006.3364,996.3005,941.2154,906.1608,1050.1253,1074.6337,1043.8882,1049.2173,1086.5264,1040.7677,988.8833,1001.5042,994.1225,1135.0097,1134.8424,861.4505,1005.3020,1000.0000,1002.8728,994.2430,953.9479,872.7526,1111.8936,999.2004,993.6526,1033.8158,985.2295,1007.8413,836.6983
1.190,1035.8086,1020.5335,1013.0451,1013.2880,1010.5995,1006.1471,1005.3859,999.7266,996.7942,1111.7927,1046.8221,1029.0864,1064.2276,1038.4758,997.0603,1075.8947,986.4674,999.2510,1010.5739,1031.6185,987.7051,1089.4799,1012.7228,1003.2885,1015.8655,1116.9875,1019.6659,1208.3709,1026.8944,1097.8118,1102.5662,1008.5831,1088.7308,1066.5443,1077.2084,1017.0286,996.2291,997.7221,998.8440,1024.9330,994.0653,986.7497,987.4340,295.6628,1010.4324,1000.4992,1006.7248,1053.3198,874.1209,1043.4590,987.6765,1011.3493,1028.6706,993.5677,1115.5293,1011.8148,1012.6948,1011.0181,1027.0604,1011.6172,1021.2893,994.3840,989.7667,965.8075,1143.1780,1180.9020,1006.6932,992.5408,990.5916,940.1334,907.0039,1009.1949,1075.6020,1046.5365,1042.0971,1080.1496,1048.3506,981.7360,997.3588,984.5136,1124.6760,1147.9611,859.6256,1009.6686,1000.0000,999.2483,1002.0712,949.9834,869.2300,1110.2636,1001.1433,994.3141,1030.2027,977.0572,1012.8149,830.3562
1.200,1036.2428,1023.7830,1010.0171,1012.9252,1015.7790,1011.3717,1000.8004,1007.5255,1033.1141,1106.4527,1040.2359,1022.6604,1079.4850,1041.0262,1000.7821,1072.0736,975.3075,1004.1539,1016.4671,1021.7858,1000.8441,1100.8907,1003.3505,1003.6306,1011.0314,1120.4884,1016.7802,1204.8286,1027.4949,1105.0205,1098.0856,1003.1782,1067.4115,1057.2643,1084.7389,1009.2848,983.6680,995.9454,1001.0719,1022.0120,987.7608,981.0340,978.6516,292.8141,1004.3918,981.8033,1005.9669,1062.0449,875.2286,1059.3605,971.0792,1005.2521,1038.0139,993.1190,1116.2763,1015.5952,1015.9664,1007.9515,1026.9632,1013.7065,1014.9750,1008.8883,992.8318,966.0946,1147.8440,1177.1973,980.0780,995.9112,994.2332,943.8014,896.0822,1050.0992,1071.5852,1032.2206,1047.5933,1080.9141,1045.2387,983.0220,1000.6203,992.7527,1124.2791,1151.1302,865.3456,986.1931,1000.0000,1001.3004,999.9698,950.4085,869.1574,1103.2855,1002.8720,996.2394,1040.9637,1015.3382,1003.6200,819.7705
1.210,1034.8268,1017.7498,1003.5400,1023.3540,1009.0553,1001.0022,1001.7732,999.3942,1065.0900,1100.8984,1034.9661,1023.8564,1076.2573,1035.3137,993.6482,1067.7506,980.9048,1008.4393,1017.2619,1021.5330,986.9590,1101.8315,1000.7606,1002.4351,1019.1125,1117.8105,1016.8120,1189.9002,1014.4186,1100.8374,1103.6789,1009.8051,1073.1998,1061.4042,1080.3655,1048.0005,988.2414,1003.3258,998.7573,1025.5263,985.1559,986.5157,992.1602,299.0045,996.9088,994.5293,1007.3956,1066.7610,871.6223,1044.0344,976.1938,1014.7615,1032.6297,999.5324,1115.8063,1008.5704,1011.6841,1007.4873,1023.4745,1011.9762,1018.9807,985.6745,1004.7563,974.6537,1150.4606,1176.6111,968.1963,995.7630,985.9599,939.7105,900.0375,959.7964,1056.4695,1046.3042,1044.6348,1084.1784,1045.1841,973.5034,998.6276,990.7859,1117.6492,1138.3573,857.8967,1003.9039,1000.0000,999.5792,990.7800,949.3790,870.0413,1103.5331,995.6382,993.9584,1041.4172,1114.3735,1001.5543,824.6203
1.220,1031.1635,1014.1510,1007.8430,1013.0667,1007.1033,1003.9249,1003.6721,995.5474,1085.0981,1100.2778,1044.6453,1027.1706,1071.3579,1029.4268,998.5627,1070.5947,993.9487,1010.9800,1011.8125,1021.9267,1007.0651,1104.8305,1008.5442,1000.3188,1006.8082,1104.8976,1018.7830,1190.6846,1012.2356,1106.8971,1099.0931,1008.4269,1081.1070,1047.8775,1077.3769,1116.4739,991.0827,1002.8524,990.0109,1016.9295,987.2820,984.3519,1025.7267,278.0001,1009.4690,983.6190,1023.8733,1059.6925,869.3120,1051.0448,977.4417,1007.5045,1036.2647,1000.2225,1115.9275,1019.0801,1013.1715,1010.3761,1030.2455,1015.6092,1008.9898,991.1134,996.1537,955.8226,1143.6185,1169.9912,984.0950,996.2873,979.6014,937.5519,899.7821,975.3908,1059.2815,1042.6818,1046.9495,1076.0505,1046.2505,978.7726,1000.3307,985.6146,1111.9648,1138.9126,853.1252,993.5244,1000.0000,1000.5198,992.6858,948.0657,873.3365,1104.8668,997.0308,1001.2345,1042.2646,1199.6770,1013.2538,816.4662
1.230,1031.2889,1013.8101,1009.6044,1014.7624,1005.7419,1008.5634,1001.5916,1002.5189,1100.3998,1095.8014,1041.2366,1018.4467,1066.6494,1033.6653,993.7650,1058.8597,989.9213,1003.6641,1001.9551,1021.2948,981.3890,1100.8778,996.2027,1004.5693,1018.0154,1110.8862,1016.3878,1196.1517,1014.8641,1089.4209,1099.3083,1063.0660,1082.9005,1044.2767,1073.4786,1106.9088,994.9274,996.2821,1007.1978,1016.7225,987.6853,985.1719,961.5709,293.2550,998.1021,977.0746,1013.5953,1066.9878,858.6642,1052.6561,974.4259,998.9766,1035.6749,996.7956,1107.1841,1018.8162,1010.7951,1006.5075,1029.5423,1014.6724,1006.1966,994.0630,990.8229,956.1186,1145.7482,1176.8975,1034.9636,992.6382,983.8667,936.5081,893.6731,1088.9705,1063.8438,1040.2082,1042.9922,1076.4472,1043.0914,981.5603,998.2042,993.4901,1101.3230,1144.0927,854.9444,1006.5413,1000.0000,998.7843,992.2365,946.5552,874.5454,1105.2273,1001.5166,992.8738,1045.0593,1124.3860,1006.1801,833.0312
1.240,1028.1194,1017.4335,1010.7009,1009.3296,1010.4138,1004.2070,997.5484,1002.3609,1108.4739,1093.8473,1043.4484,1018.4942,1063.3066,1021.4069,991.6934,1068.6476,985.2250,1007.3814,1007.8841,1022.0815,993.0594,1095.0121,1002.0301,1006.1309,1020.2074,1104.9873,1017.0968,1188.0665,1025.5558,1092.0276,1085.3704,1072.6505,1053.6001,1036.2933,1067.5690,1148.2929,984.1561,1002.9003,995.5472,1027.0853,985.7226,977.9049,991.9107,286.6157,1006.8033,989.9473,1016.9926,1052.6848,860.2963,1050.1463,976.4602,1008.7110,1039.8786,989.0128,1117.0326,1008.5760,1011.5281,1016.5090,1026.9278,1010.3313,1009.7492,1000.0987,991.5439,978.7195,1146.8858,1166.7825,1040.7689,985.4286,987.7061,943.1007,905.4903,974.4673,1065.9480,1037.8571,1036.9950,1082.0413,1048.0294,978.0013,997.8254,988.7054,1102.5945,1148.0957,857.3573,1005.7406,1000.0000,1000.8324,991.8564,949.9208,871.2012,1105.4918,1000.2005,995.3600,1049.7483,1025.1019,1017.2955,819.8741
1.250,1032.1209,1013.6468,1005.5546,1014.3223,1009.5347,1004.9315,996.5214,1033.3240,1113.2254,1081.0876,1033.2726,1012.1672,1064.9283,1028.0513,992.3305,1055.5852,985.6374,1001.1896,1008.1779,1019.0689,984.8745,1097.2814,1003.6014,990.7233,1005.0826,1102.5713,1007.4887,1178.5690,1022.3118,1091.6432,1091.1361,1101.3201,1059.5858,1036.8690,1064.3503,1138.6488,1000.0047,999.8236,997.3825,1025.7709,978.9788,984.0459,1003.8953,296.1274,1007.1405,978.0151,1019.2091,1070.2909,872.0210,1045.2227,971.6679,1008.8579,1039.5103,997.6386,1107.9462,999.9665,1010.6293,1009.1788,1032.8068,1007.2496,1015.8321,991.4015,990.0616,971.0049,1147.3394,1165.1469,986.8573,1003.9754,994.8930,942.2099,900.8769,973.2127,1044.0404,1027.7666,1029.9068,1074.8650,1046.8801,983.3477,988.4131,983.8524,1105.6286,1143.8052,853.2062,1002.3069,1000.0000,1001.2319,999.4163,951.5414,874.0102,1104.2695,998.4716,994.4489,1039.7037,1008.7938,999.8272,835.8606
1.260,1025.8204,1015.8541,1003.2878,1006.1497,1005.2110,1002.3978,1001.0714,1063.9751,1121.8463,1089.8659,1036.2432,1024.6027,1065.0271,1026.1725,995.2908,1061.0544,975.3794,995.6827,1003.4634,1015.0777,1024.2980,1095.8446,1001.9334,1011.2685,996.6126,1102.3581,1014.1609,1169.1888,1015.0474,1075.6174,1092.5017,1125.3421,1056.3190,1035.3131,1054.1056,1148.8737,1004.0709,1005.9652,992.1221,1023.4796,989.4771,982.2301,1019.1419,295.4543,1044.5226,984.6652,1024.6579,1059.1204,862.0280,1050.4799,974.8200,1009.9431,1034.4716,979.1340,1107.0383,1017.3950,1020.8290,1001.9393,1032.8582,1007.7834,1017.0424,996.1202,996.9130,976.8427,1143.2155,1161.4039,955.9080,995.0367,985.3042,938.8736,900.9250,933.7775,1052.9127,1028.2617,1041.6708,1077.6338,1041.0783,983.6452,993.8827,985.0676,1094.3833,1149.8889,859.0290,999.6169,1000.0000,1001.5404,994.8403,947.7932,875.4493,1102.9062,998.2011,1000.5480,1050.3458,1080.2767,1006.0051,832.6755
1.270,1024.2005,1011.8160,1011.2894,1011.6069,1002.3450,1000.0463,994.8409,1084.7431,1113.7380,1079.7055,1038.6434,1015.3796,1050.6156,1017.4601,999.3952,1059.7312,984.9614,997.7472,1006.3816,1014.5034,1061.5287,1083.3806,999.7058,1064.1914,1011.2025,1087.5977,1006.6314,1167.0764,1012.8104,1074.8248,1078.8479,1136.8621,1071.4652,1044.4806,1061.4069,1161.6146,993.6561,1008.2047,996.2053,1024.8836,981.3764,977.9608,1004.6383,291.7014,1072.7451,980.8593,996.6825,1038.9897,870.7232,1053.7715,974.7538,1007.4568,1032.8116,992.5807,1111.4502,1013.8322,1000.0834,1008.1342,1026.8178,1003.9386,1005.0487,993.9587,984.9736,966.3509,1147.8888,1167.7506,956.2506,985.0683,998.6854,938.6728,897.3491,984.8783,1051.5125,1033.8650,1037.9872,1068.5091,1046.7945,974.9264,999.5756,996.1655,1098.9654,1154.2564,847.9810,997.5801,1000.0000,1000.0957,989.2861,945.6665,878.3378,1100.1987,998.2594,996.8583,1053.5539,1103.4907,1001.7810,807.5169
1.280,1028.5818,1012.3828,1010.3367,1008.1328,1003.8610,1003.5023,1045.0388,1104.4561,1116.4306,1075.4790,1029.5549,1007.6748,1058.1907,1027.9408,996.2176,1063.6750,980.1211,1002.1514,1013.6962,1015.7221,1095.8507,1087.8453,998.0595,1112.9161,1006.6592,1082.6262,1015.8774,1158.5671,1009.8034,1077.0845,1069.9256,1144.5605,1066.3320,1032.3409,1058.1534,1166.0945,978.4218,995.0628,1010.4416,1020.9339,989.4175,976.6731,1032.5627,302.6922,1093.7137,986.2290,1024.9171,1053.6847,860.6002,1050.4651,973.9751,1013.9079,1037.1826,983.8804,1107.7689,1011.2952,1013.4256,999.4040,1031.2634,1015.5435,1008.8611,992.6660,986.3851,977.3130,1142.2006,1161.6410,1015.0547,998.1074,989.9150,941.5751,896.2182,1038.7510,1041.6822,1030.5088,1019.0723,1083.3102,1048.5782,975.6301,998.3947,989.6831,1084.8825,1148.5478,851.7865,1000.2876,1000.0000,1000.8480,984.0761,955.3498,873.8038,1096.3005,1000.8765,1000.3302,1053.9059,1087.8512,997.5752,814.1071
1.290,1022.8105,1015.3902,1000.9210,1005.1542,1004.8863,1005.5043,1084.6385,1112.2576,1111.9277,1065.9663,1034.9369,1017.6721,1059.4802,1011.5508,993.1820,1054.0593,986.5409,997.1109,1006.6164,1014.8461,1099.2640,1081.5730,999.5241,1146.3484,1003.8651,1083.7438,1008.3066,1155.6801,1012.5269,1067.0557,1073.0767,1146.3223,1066.4216,1037.0114,1058.7345,1157.2362,990.8283,1000.0109,1002.1408,1033.7507,990.4985,982.4527,1000.0661,312.7809,1110.9780,990.9957,1014.2283,1054.4065,861.5600,1053.7940,975.7508,1010.3273,1028.5629,998.1360,1107.9256,1002.2745,1007.7451,1007.9959,1031.0198,1016.7774,1009.8760,987.5071,989.7686,970.6378,1146.5487,1165.4562,1057.4854,990.1902,989.4352,942.6967,898.2624,971.2139,1054.0702,1013.5151,1021.3031,1066.4896,1040.3598,974.7195,996.1587,989.6331,1081.0038,1148.3626,844.1647,1005.8654,1000.0000,1000.0145,994.0577,951.6984,873.7631,1101.3089,998.8361,1001.5340,1061.2364,1025.4280,1008.0310,815.1807
1.300,1027.4450,1014.7425,1002.9981,1008.4332,1003.1925,992.5149,1101.0339,1117.1226,1110.4754,1061.2841,1037.3204,1015.6434,1054.6282,1019.2233,994.2498,1059.8715,988.0765,1000.9596,1004.3843,1010.6138,1098.6689,1073.6928,1001.8972,1165.8286,998.3666,1064.4503,1006.3548,1153.3277,1010.4757,1081.7868,1077.4717,1143.1341,1058.6754,1022.9744,1059.0425,1160.0203,994.7212,997.4949,996.7240,1009.1487,981.1215,982.2920,986.3490,302.8742,1120.7894,986.1615,1012.1350,1066.2178,855.8462,1052.3494,965.5142,1001.8347,1033.4027,992.5224,1113.0805,1016.0360,1015.0524,995.0925,1024.8254,1013.7165,1005.0698,998.2961,990.0501,972.7527,1140.1645,1153.0086,1016.7930,993.4631,990.1054,941.8120,898.3788,1003.8117,1042.0127,1023.9260,1034.6112,1071.7603,1035.3632,974.1708,994.7349,989.3200,1075.4520,1159.6027,838.3660,995.9845,1000.0000,1000.1438,996.3096,949.6153,878.0219,1105.1255,1002.0218,991.7596,1052.2270,979.6961,991.8593,820.0469
1.310,1020.9070,1011.5004,1009.2413,1007.4390,1007.7897,1000.0455,1121.4200,1122.5702,1109.1550,1060.6404,1034.3380,1014.7600,1056.9395,1021.0485,994.8160,1057.1545,987.4317,997.1472,1007.6367,1005.6935,1115.1632,1080.7248,1005.1858,1182.9824,1006.3923,1088.4793,1016.7560,1141.9868,1007.2056,1067.9754,1068.6471,1131.4589,1061.5944,1029.5742,1048.6207,1145.4706,994.8842,996.3434,1001.0445,1011.8853,987.6311,980.6374,965.8008,291.9309,1122.4628,978.6416,998.4675,1044.8635,864.9949,1049.3410,965.1358,995.9711,1033.7101,993.2865,1103.9481,1008.8725,1015.3478,1001.3297,1024.1070,1012.3945,1003.8817,991.6542,989.1451,976.8248,1141.4211,1152.5997,974.0977,995.1645,990.3461,935.6962,895.5949,999.2674,1044.4535,1014.2651,1026.3674,1082.7386,1048.2166,966.6939,996.0318,987.6468,1075.3791,1154.8611,857.1140,998.6172,1000.0000,999.8957,1001.2416,955.5879,878.6032,1089.4921,999.8540,998.4833,1062.8969,979.8929,1004.0500,823.7346
1.320,1024.6539,1016.6153,1001.5798,1001.9623,1003.1160,994.7048,1133.7385,1120.5366,1098.5297,1064.3802,1029.2512,1017.1221,1049.0306,1013.8905,988.3385,1057.9916,980.3981,1000.2500,994.5771,1007.8400,1105.9684,1069.1976,1002.0034,1191.1864,1002.2924,1080.6798,1005.6296,1133.1691,1003.1350,1060.6519,1061.6306,1150.2602,1062.0568,1021.8606,1057.8944,1160.9169,996.9780,1000.8868,1005.7509,1025.7452,987.2789,982.5998,979.3532,293.6400,1130.0453,984.4544,1021.5516,1051.0941,857.7379,1056.6157,975.4848,999.3044,1042.7234,992.1399,1110.2832,1000.7411,1008.1311,1005.6534,1032.6369,1008.6882,1008.7616,981.9210,993.5486,977.1848,1150.2528,1159.6240,957.7713,995.7419,993.3627,942.2155,901.4269,981.9768,1047.4763,1020.3061,1023.1051,1062.6676,1043.7467,974.4295,996.8041,983.1918,1081.1798,1155.5196,844.1853,997.2221,1000.0000,1000.0741,997.7782,955.1003,879.9408,1097.4012,998.2150,998.6772,1061.5410,990.1269,1072.1447,796.3927
1.330,1022.9359,1014.3189,1006.2554,1002.8413,998.6848,998.0085,1135.1497,1118.0220,1094.1208,1059.2055,1033.1311,1006.9186,1041.8360,1001.7445,988.6388,1056.0387,1009.2318,998.2128,1003.6967,1017.9676,1120.4039,1066.3849,1001.4679,1179.7584,999.5804,1076.5694,1006.3605,1138.9330,1000.3100,1051.2200,1063.1785,1135.1061,1062.0175,1017.6332,1050.5758,1137.5718,998.9847,997.7388,1004.3225,1017.1964,982.6779,987.0872,991.1271,309.6407,1130.2278,986.8750,1009.4208,1038.4354,857.2651,1057.0829,969.8565,1005.3863,1040.0684,993.7661,1116.1476,1006.5871,998.6078,973.4242,1019.4894,1008.2630,1000.7900,990.2990,989.5228,985.2904,1142.5899,1150.8461,984.7178,988.3423,983.8249,945.3331,894.7147,949.7085,1046.8230,1025.3734,1007.9670,1070.6714,1052.4902,974.8375,990.6875,992.1134,1075.4219,1156.5604,831.2164,994.7567,1000.0000,998.8342,993.8958,943.5644,880.3325,1096.1835,1000.1894,1004.0667,1060.4394,986.2555,1135.4858,798.9026
1.340,1017.9687,1014.3174,1002.6802,1005.2044,996.6608,1001.0963,1137.9837,1118.4413,1089.5078,1051.6405,1029.2067,1010.6346,1053.5744,1011.0592,988.7136,1055.1287,1043.0563,993.0311,999.5301,1017.6803,1119.0141,1068.0394,999.1547,1189.0134,1004.1485,1062.4660,1007.6391,1124.1858,1010.5072,1055.2842,1065.4198,1127.1476,1046.4557,1024.6775,1040.6336,1151.9466,993.6064,996.2606,1003.0277,1012.6671,982.5815,997.0030,1004.1915,306.5371,1124.3230,980.2064,1034.6490,1028.2592,853.6897,1054.0091,963.4263,1006.5887,1031.8711,995.8591,1109.1883,1013.7585,1010.6696,990.7520,1031.1027,1008.3285,1005.9942,979.7232,989.8161,983.7246,1141.4824,1147.9030,1037.7308,1003.1041,986.9373,932.8830,899.8309,1025.1835,1030.4162,1016.3300,1015.6901,1060.3546,1039.3250,970.4585,989.6895,987.1312,1066.5613,1147.9341,852.4972,998.9971,1000.0000,1000.4250,990.3326,952.5332,876.2275,1096.8927,1003.6213,1001.7285,1064.3696,981.0191,1150.0000,799.7416
